crit_id,diag_id
1,F70
1,F71
1,F72
1,F73
1,F78
1,F79
2,F70
2,F71
2,F72
2,F73
2,F78
2,F79
3,F70
3,F71
3,F72
3,F73
3,F78
3,F79
3,F88
4,F70
4,F78
4,F79
5,F71
5,F78
5,F79
6,F72
6,F78
6,F79
7,F73
7,F78
7,F79
8,F79
8,F88
9,F80
10,F80
11,F80
12,F80
13,F80
14,F80
15,F80
16,F80
16,F84
17,F80
17,F84
18,F84
19,F80
19,F84
20,F84
21,F84
22,F84
23,F84
24,F84
25,F84
25,F98
26,F84
27,F84
28,F90
29,F90
30,F90
31,F81
32,F81
33,F81
34,F81
35,F81
36,F82
37,F95
37,F98
38,F95
38,F98
39,F95
39,F98
40,F95
40,F98
41,F22
41,F30
41,F32
41,F23
41,F20
41,F25
41,F28
42,F23
42,F20
42,F25
42,F28
43,F23
43,F20
43,F25
43,F28
44,F23
44,F20
44,F25
44,F28
45,F20
45,F25
45,F25
45,F28
46,F20
46,F25
47,F06
48,F06
49,F06
50,F06
51,F06
52,F06
53,F06
54,F06
55,F06
56,F30
56,F31
57,F30
57,F31
58,F30
58,F31
59,F30
59,F31
60,F30
60,F31
61,F30
61,F31
62,F32
62,F33
63,F32
63,F33
64,F32
64,F33
65,F32
65,F33
66,F32
66,F33
67,F32
67,F33
68,F32
68,F33
69,F32
69,F33
70,F32
70,F33
71,F32
71,F33
72,F32
72,F33
73,F32
73,F33
74,F32
74,F33
75,F32
75,F33
76,F32
76,F33
76,F34
76,F39
77,F32
77,F33
77,F34
77,F39
78,F32
78,F33
78,F34
78,F39
79,F32
79,F33
79,F34
79,F39
80,F32
80,F33
80,F34
80,F39
81,F41
81,F98
82,F41
82,F98
83,F41
83,F48
84,F41
84,F98
85,F41
85,F98
86,F41
86,F98
87,F40
88,F40
89,F40
90,F40
91,F40
91,F41
92,F40
92,F41
93,F40
93,F41
94,F40
94,F41
95,F40
95,F41
96,F40
96,F41
97,F40
97,F41
98,F40
98,F41
99,F40
99,F41
100,F40
100,F41
101,F40
101,F41
102,F40
102,F41
103,F40
104,F40
105,F40
106,F40
106,F42
107,F40
108,F42
109,F42
110,F41
111,F42
112,F42
113,F42
114,F42
114,F63
115,F42
116,F98
116,F93
117,F93
118,F43
119,F43
120,F42
120,F43
120,F44
120,F48
121,F48
122,F48
123,F44
124,F44
125,F45
126,F48
127,F68
128,F50
129,F98
129,F50
130,F50
131,F50
132,F50
133,F50
134,F98
135,F98
136,F53
136,F54
137,F52
138,F52
139,F52
140,F52
141,F52
142,F52
143,F64
144,F91
145,F91
146,F60
146,F91
147,F91
148,F91
149,F91
150,F63
151,F63
152,F10
153,F10
154,F10
155,F15
156,F15
157,F12
158,F12
159,F12
160,F16
161,F12
162,F14
163,F14
164,F14
165,F17
166,F16
167,F10
167,F11
167,F12
167,F13
167,F14
167,F15
167,F16
167,F17
167,F18
167,F19
168,F10
168,F11
168,F12
168,F13
168,F14
168,F15
168,F16
168,F17
168,F18
168,F19
169,F10
169,F11
169,F12
169,F13
169,F14
169,F15
169,F16
169,F17
169,F18
169,F19
170,F11
171,F11
172,F11
173,F13
174,F17
175,F10
176,F02
176,F06
177,F02
178,F02
178,F06
179,F02
180,F02
180,F06
181,F60
182,F60
183,F60
184,F60
185,F60
186,F60
187,F60
188,F60
189,F60
190,F28
191,F28
192,F28
193,F28
194,F60
195,F60
196,F60
196,F32
197,F60
198,F60
199,F60
200,F60
201,F60
202,F60
203,F60
204,F60
205,F60
206,F60
207,F60
208,F65
209,F65
210,F65
211,F65
212,F65
213,F66
214,F70
214,F71
214,F72
214,F73
215,F80
216,F80
217,F80
218,F80
219,F84
220,F84
221,F84
57,F90
222,F90
223,F81
224,F82
225,F95
226,F95
227,F89
228,F22
228,F20
229,F23
230,F23
107,F20
130,F20
231,F25
232,F25
233,F30
30,F31
